soru,konu,tavsiye
1'den 20'ye kadar olan doğal sayıların kaç tanesi çifttir?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
AB iki basamaklı sayısında A=3 ve B=7 ise bu sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları toplamı 12 olan iki basamaklı en büyük sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Birler basamağı 4, onlar basamağı 6 olan sayı kaçtır?",Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"ABC üç basamaklı sayısında A=2, B=5, C=9 ise sayı kaçtır?",Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
İki basamaklı bir sayının onlar basamağı birler basamağının 2 katıdır. Birler basamağı 3 ise sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları farklı en küçük üç basamaklı sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Bir sayının onlar basamağı 8, birler basamağı 1 artırılırsa sayı kaç artar?",Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
345 sayısının yüzler basamağındaki rakamın basamak değeri kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları toplamı 9 olan iki basamaklı en küçük sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
AB sayısı BA sayısından 27 fazladır. A-B farkı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Üç basamaklı 4a7 sayısının rakamları toplamı 18 ise a kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları toplamı 15 olan en küçük üç basamaklı sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının yüzler basamağı 5 artırılırsa sayı kaç artar?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
AB iki basamaklı sayısında A+B=10 ve A-B=4 ise sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının rakamları yer değiştirince sayı 18 artıyorsa onlar ve birler basamağı farkı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
507 sayısında onlar basamağındaki rakamın basamak değeri kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları farklı iki basamaklı en büyük çift sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"ABC sayısında A=1, B=0, C=8 ise sayı kaçtır?",Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının onlar basamağı 3 azaltılırsa sayı kaç azalır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları toplamı 6 olan üç basamaklı en küçük sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
AB iki basamaklı sayısı 10A+B şeklinde yazılır. A=6 ve B=2 ise sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Birler basamağı 9 olan iki basamaklı en küçük sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Üç basamaklı bir sayıda yüzler basamağı 4, onlar basamağı 2, birler basamağı 8 ise sayı kaçtır?",Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Rakamları 2, 5 ve 7 olan en büyük üç basamaklı sayı kaçtır?",Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Rakamları 1, 3 ve 9 olan en küçük üç basamaklı sayı kaçtır?",Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının rakamları toplamı 11 ve onlar basamağı 8 ise birler basamağı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
AB sayısı BA sayısından 45 fazlaysa A-B kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının birler basamağı 6'dır. Bu sayı 10 ile bölündüğünde kalan kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
2408 sayısında binler basamağındaki rakamın basamak değeri kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
İki basamaklı bir sayının rakamları toplamı 13 ve birler basamağı 5 ise sayı kaçtır?,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
72 sayısı 6 ile bölündüğünde bölüm kaç olur?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı 3 ve 5 ile tam bölünüyorsa en küçük pozitif değeri kaç olabilir?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
84 sayısının 7 ile bölümünden kalan kaçtır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
123 sayısının 3 ile bölünüp bölünmediğini rakamlar toplamıyla belirleyiniz.,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 4 ile tam bölünebilmesi için son iki basamağı hangi koşulu sağlamalıdır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
96 sayısı 8'e tam bölünür mü?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir doğal sayı 9 ile tam bölünüyorsa rakamları toplamı için ne söylenebilir?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
45 ile 60 sayılarını bölen en büyük ortak bölen kaçtır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
18'in katı olan iki basamaklı en küçük sayı kaçtır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 2 ile bölümünden kalan 1 ise bu sayı tek midir çift midir?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
245 sayısının 5 ile bölümünden kalan kaçtır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı 6 ile tam bölünüyorsa hangi iki sayıya da tam bölünmelidir?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
348 sayısı 3 ile tam bölünür mü?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
100 ile 150 arasındaki 12'nin katı olan en küçük sayı kaçtır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 10 ile bölümünden kalan neye eşittir?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
512 sayısı 8 ile tam bölünür mü?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı 2 ve 3 ile bölünüyorsa 6 ile kesin bölünür mü?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
90 sayısının pozitif bölenlerinden 9'a bölünebilenler hangileridir?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 11 ile bölünebilme kuralında hangi basamaklar karşılaştırılır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
75 sayısının 4 ile bölümünden kalan kaçtır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir doğal sayı 5 ile bölündüğünde kalan 2 ise birler basamağı ne olabilir?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
36 ve 48'in ortak bölenlerinden en büyüğü kaçtır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı hem 4 hem 9 ile bölünüyorsa 36 ile bölünebilir mi?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
234 sayısının 9 ile bölümünden kalan kaçtır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 15 ile tam bölünmesi için hangi şartlar sağlanmalıdır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
126 sayısı 7 ile bölündüğünde bölüm kaçtır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
2 ile bölünebilen sayılara ne ad verilir?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı 100 ile bölündüğünde kalan hangi basamaklardan anlaşılır?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
64 sayısı 16 ile tam bölünür mü?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Rakamları toplamı 27 olan bir sayı 9 ile tam bölünür mü?,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
"2, 3, 4, 5 sayılarından hangileri asaldır?",Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
20'den küçük asal sayıların toplamı kaçtır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Bir asal sayının pozitif bölen sayısı kaçtır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
En küçük asal sayı kaçtır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
15 ile 25 arasındaki asal sayılar hangileridir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
91 sayısı asal mıdır? Gerekçesini düşününüz.,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
İki basamaklı en küçük asal sayı kaçtır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Bir asal sayı ile 1'in çarpımı neye eşittir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
30 sayısının asal çarpanları nelerdir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Asal olmayan 1'den büyük doğal sayılara ne ad verilir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
1 asal sayı mıdır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
49 sayısı asal mıdır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
36 sayısının asal çarpanlarına ayrılmış biçimi nedir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
11 ile 17 sayıları aralarında asal mıdır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
En küçük iki asal sayının toplamı kaçtır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Bir çift asal sayı kaçtır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
77 sayısının asal çarpanları nelerdir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
29 sayısı neden asal sayıdır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Asal sayıların 1 ve kendisi dışında pozitif böleni var mıdır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
45 sayısının asal çarpanları hangileridir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
İki farklı asal sayının çarpımı 35 ise bu sayılar nelerdir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
2 basamaklı en büyük asal sayı kaçtır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
13 sayısının pozitif bölenleri nelerdir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
60 sayısı asal çarpanlarına ayrılırsa hangi asal sayılar kullanılır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Aralarında asal iki sayının ortak böleni kaçtır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
23 asal sayı mıdır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
51 sayısı asal mıdır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Bir asal sayının karesi kaç farklı asal çarpan içerir?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
"2, 5 ve 10 sayılarından hangileri asaldır?",Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
En küçük üç asal sayının çarpımı kaçtır?,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
1/2 ile 1/3 toplamı kaçtır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
3/4 sayısının ondalık gösterimi nedir?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
2/5 ile 1/5 farkı kaçtır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
"Bir kesrin payı 6, paydası 8 ise sadeleştirilmiş hali nedir?",Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
5/6 sayısı 1'den büyük müdür küçük müdür?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
1/4 sayısının 3 katı kaçtır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
2/3 sayısının yarısı kaçtır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
"0,75 sayısının kesir gösterimi nedir?",Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
7/10 ile 2/10 toplamı kaçtır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
Bir pastanın 3/8'i yenirse geriye kaçta kaçı kalır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
4/9 ile 2/9 toplamı kaçtır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
5/12 kesrinin 2 katı kaçtır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
1 tam 1/2 sayısı bileşik kesir olarak nasıl yazılır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
3/5 ile 4/5 karşılaştırıldığında hangisi büyüktür?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
2/7 kesrinin payı 4 artırılırsa yeni kesir nedir?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
8/10 kesri sadeleşirse ne olur?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
"0,2 sayısının kesir karşılığı nedir?",Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
1/6 ile 1/2 toplamı kaçtır?,Rasyonel Sayılar,"Rasyonel sayılarda dört işlem, sadeleştirme, kesir-ondalık dönüşümü ve karşılaştırma konularını tekrar etmelisin."
