soru,soru_temiz,konu,tavsiye
Bir tam sayının karesi 49 ise bu tam sayılar nelerdir?,bir tam sayinin karesi 49 ise bu tam sayilar nelerdir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Sıfırın pozitif bir sayıyla çarpımı kaçtır?,sifirin pozitif bir sayiyla carpimi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
"Bir sayının 10 eksiği, aynı sayının yarısına eşitse sayı kaçtır?",bir sayinin 10 eksigi ayni sayinin yarisina esitse sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Tek sayıların toplamı her zaman tek midir çift midir?,tek sayilarin toplami her zaman tek midir cift midir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
İki basamaklı en büyük doğal sayı ile iki basamaklı en küçük doğal sayının farkı kaçtır?,i ki basamakli en buyuk dogal sayi ile iki basamakli en kucuk dogal sayinin farki kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayı 4 artırılıp 2'ye bölündüğünde 13 oluyorsa sayı kaçtır?,bir sayi 4 artirilip 2 ye bolundugunde 13 oluyorsa sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Pozitif iki tam sayının toplamı 17 ve çarpımı 72 ise bu sayılar ne olabilir?,pozitif iki tam sayinin toplami 17 ve carpimi 72 ise bu sayilar ne olabilir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 7 fazlası 21 ise bu sayı kaçtır?,bir sayinin 7 fazlasi 21 ise bu sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının üçte biri 12 ise sayının kendisi kaçtır?,bir sayinin ucte biri 12 ise sayinin kendisi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Ardışık iki çift sayının toplamı 54 ise küçük sayı kaçtır?,ardisik iki cift sayinin toplami 54 ise kucuk sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir tam sayının kendisi ile ters işaretlisinin toplamı kaçtır?,bir tam sayinin kendisi ile ters isaretlisinin toplami kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
1'den 20'ye kadar olan doğal sayıların kaç tanesi çifttir?,1 den 20 ye kadar olan dogal sayilarin kac tanesi cifttir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
AB iki basamaklı sayısında A=3 ve B=7 ise bu sayı kaçtır?,ab iki basamakli sayisinda a esittir 3 ve b esittir 7 ise bu sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları toplamı 12 olan iki basamaklı en büyük sayı kaçtır?,rakamlari toplami 12 olan iki basamakli en buyuk sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Birler basamağı 4, onlar basamağı 6 olan sayı kaçtır?",birler basamagi 4 onlar basamagi 6 olan sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"ABC üç basamaklı sayısında A=2, B=5, C=9 ise sayı kaçtır?",abc uc basamakli sayisinda a esittir 2 b esittir 5 c esittir 9 ise sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
İki basamaklı bir sayının onlar basamağı birler basamağının 2 katıdır. Birler basamağı 3 ise sayı kaçtır?,i ki basamakli bir sayinin onlar basamagi birler basamaginin 2 katidir carpi birler basamagi 3 ise sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları farklı en küçük üç basamaklı sayı kaçtır?,rakamlari farkli en kucuk uc basamakli sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Bir sayının onlar basamağı 8, birler basamağı 1 artırılırsa sayı kaç artar?",bir sayinin onlar basamagi 8 birler basamagi 1 artirilirsa sayi kac artar,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
345 sayısının yüzler basamağındaki rakamın basamak değeri kaçtır?,345 sayisinin yuzler basamagindaki rakamin basamak degeri kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları toplamı 9 olan iki basamaklı en küçük sayı kaçtır?,rakamlari toplami 9 olan iki basamakli en kucuk sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
AB sayısı BA sayısından 27 fazladır. A-B farkı kaçtır?,ab sayisi ba sayisindan 27 fazladir carpi a eksi b farki kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Üç basamaklı 4a7 sayısının rakamları toplamı 18 ise a kaçtır?,uc basamakli 4a7 sayisinin rakamlari toplami 18 ise a kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları toplamı 15 olan en küçük üç basamaklı sayı kaçtır?,rakamlari toplami 15 olan en kucuk uc basamakli sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının yüzler basamağı 5 artırılırsa sayı kaç artar?,bir sayinin yuzler basamagi 5 artirilirsa sayi kac artar,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
AB iki basamaklı sayısında A+B=10 ve A-B=4 ise sayı kaçtır?,ab iki basamakli sayisinda a arti b esittir 10 ve a eksi b esittir 4 ise sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının rakamları yer değiştirince sayı 18 artıyorsa onlar ve birler basamağı farkı kaçtır?,bir sayinin rakamlari yer degistirince sayi 18 artiyorsa onlar ve birler basamagi farki kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
507 sayısında onlar basamağındaki rakamın basamak değeri kaçtır?,507 sayisinda onlar basamagindaki rakamin basamak degeri kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları farklı iki basamaklı en büyük çift sayı kaçtır?,rakamlari farkli iki basamakli en buyuk cift sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"ABC sayısında A=1, B=0, C=8 ise sayı kaçtır?",abc sayisinda a esittir 1 b esittir 0 c esittir 8 ise sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının onlar basamağı 3 azaltılırsa sayı kaç azalır?,bir sayinin onlar basamagi 3 azaltilirsa sayi kac azalir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Rakamları toplamı 6 olan üç basamaklı en küçük sayı kaçtır?,rakamlari toplami 6 olan uc basamakli en kucuk sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
AB iki basamaklı sayısı 10A+B şeklinde yazılır. A=6 ve B=2 ise sayı kaçtır?,ab iki basamakli sayisi 10a arti b seklinde yazilir carpi a esittir 6 ve b esittir 2 ise sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Birler basamağı 9 olan iki basamaklı en küçük sayı kaçtır?,birler basamagi 9 olan iki basamakli en kucuk sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Üç basamaklı bir sayıda yüzler basamağı 4, onlar basamağı 2, birler basamağı 8 ise sayı kaçtır?",uc basamakli bir sayida yuzler basamagi 4 onlar basamagi 2 birler basamagi 8 ise sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Rakamları 2, 5 ve 7 olan en büyük üç basamaklı sayı kaçtır?",rakamlari 2 5 ve 7 olan en buyuk uc basamakli sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
"Rakamları 1, 3 ve 9 olan en küçük üç basamaklı sayı kaçtır?",rakamlari 1 3 ve 9 olan en kucuk uc basamakli sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının rakamları toplamı 11 ve onlar basamağı 8 ise birler basamağı kaçtır?,bir sayinin rakamlari toplami 11 ve onlar basamagi 8 ise birler basamagi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
AB sayısı BA sayısından 45 fazlaysa A-B kaçtır?,ab sayisi ba sayisindan 45 fazlaysa a eksi b kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
Bir sayının birler basamağı 6'dır. Bu sayı 10 ile bölündüğünde kalan kaçtır?,bir sayinin birler basamagi 6 dir carpi bu sayi 10 ile bolundugunde kalan kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
2408 sayısında binler basamağındaki rakamın basamak değeri kaçtır?,2408 sayisinda binler basamagindaki rakamin basamak degeri kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
İki basamaklı bir sayının rakamları toplamı 13 ve birler basamağı 5 ise sayı kaçtır?,i ki basamakli bir sayinin rakamlari toplami 13 ve birler basamagi 5 ise sayi kactir,Sayı Basamakları,"Sayı basamaklarında basamak değeri, rakamlar toplamı, sayı çözümleme ve rakamların yer değiştirmesi konularını tekrar etmelisin."
72 sayısı 6 ile bölündüğünde bölüm kaç olur?,72 sayisi 6 ile bolundugunde bolum kac olur,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı 3 ve 5 ile tam bölünüyorsa en küçük pozitif değeri kaç olabilir?,bir sayi 3 ve 5 ile tam bolunuyorsa en kucuk pozitif degeri kac olabilir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
84 sayısının 7 ile bölümünden kalan kaçtır?,84 sayisinin 7 ile bolumunden kalan kactir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
123 sayısının 3 ile bölünüp bölünmediğini rakamlar toplamıyla belirleyiniz.,123 sayisinin 3 ile bolunup bolunmedigini rakamlar toplamiyla belirleyiniz carpi,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 4 ile tam bölünebilmesi için son iki basamağı hangi koşulu sağlamalıdır?,bir sayinin 4 ile tam bolunebilmesi icin son iki basamagi hangi kosulu saglamalidir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
96 sayısı 8'e tam bölünür mü?,96 sayisi 8 e tam bolunur mu,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir doğal sayı 9 ile tam bölünüyorsa rakamları toplamı için ne söylenebilir?,bir dogal sayi 9 ile tam bolunuyorsa rakamlari toplami icin ne soylenebilir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
45 ile 60 sayılarını bölen en büyük ortak bölen kaçtır?,45 ile 60 sayilarini bolen en buyuk ortak bolen kactir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
18'in katı olan iki basamaklı en küçük sayı kaçtır?,18 in kati olan iki basamakli en kucuk sayi kactir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 2 ile bölümünden kalan 1 ise bu sayı tek midir çift midir?,bir sayinin 2 ile bolumunden kalan 1 ise bu sayi tek midir cift midir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
245 sayısının 5 ile bölümünden kalan kaçtır?,245 sayisinin 5 ile bolumunden kalan kactir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı 6 ile tam bölünüyorsa hangi iki sayıya da tam bölünmelidir?,bir sayi 6 ile tam bolunuyorsa hangi iki sayiya da tam bolunmelidir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
348 sayısı 3 ile tam bölünür mü?,348 sayisi 3 ile tam bolunur mu,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
100 ile 150 arasındaki 12'nin katı olan en küçük sayı kaçtır?,100 ile 150 arasindaki 12 nin kati olan en kucuk sayi kactir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 10 ile bölümünden kalan neye eşittir?,bir sayinin 10 ile bolumunden kalan neye esittir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
512 sayısı 8 ile tam bölünür mü?,512 sayisi 8 ile tam bolunur mu,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı 2 ve 3 ile bölünüyorsa 6 ile kesin bölünür mü?,bir sayi 2 ve 3 ile bolunuyorsa 6 ile kesin bolunur mu,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
90 sayısının pozitif bölenlerinden 9'a bölünebilenler hangileridir?,90 sayisinin pozitif bolenlerinden 9 a bolunebilenler hangileridir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 11 ile bölünebilme kuralında hangi basamaklar karşılaştırılır?,bir sayinin 11 ile bolunebilme kuralinda hangi basamaklar karsilastirilir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
75 sayısının 4 ile bölümünden kalan kaçtır?,75 sayisinin 4 ile bolumunden kalan kactir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir doğal sayı 5 ile bölündüğünde kalan 2 ise birler basamağı ne olabilir?,bir dogal sayi 5 ile bolundugunde kalan 2 ise birler basamagi ne olabilir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
36 ve 48'in ortak bölenlerinden en büyüğü kaçtır?,36 ve 48 in ortak bolenlerinden en buyugu kactir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı hem 4 hem 9 ile bölünüyorsa 36 ile bölünebilir mi?,bir sayi hem 4 hem 9 ile bolunuyorsa 36 ile bolunebilir mi,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
234 sayısının 9 ile bölümünden kalan kaçtır?,234 sayisinin 9 ile bolumunden kalan kactir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayının 15 ile tam bölünmesi için hangi şartlar sağlanmalıdır?,bir sayinin 15 ile tam bolunmesi icin hangi sartlar saglanmalidir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
126 sayısı 7 ile bölündüğünde bölüm kaçtır?,126 sayisi 7 ile bolundugunde bolum kactir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
2 ile bölünebilen sayılara ne ad verilir?,2 ile bolunebilen sayilara ne ad verilir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Bir sayı 100 ile bölündüğünde kalan hangi basamaklardan anlaşılır?,bir sayi 100 ile bolundugunde kalan hangi basamaklardan anlasilir,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
64 sayısı 16 ile tam bölünür mü?,64 sayisi 16 ile tam bolunur mu,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
Rakamları toplamı 27 olan bir sayı 9 ile tam bölünür mü?,rakamlari toplami 27 olan bir sayi 9 ile tam bolunur mu,Bölme ve Bölünebilme,"Bölünebilme kurallarını, kalan bulmayı, ortak bölenleri ve kat ilişkilerini tekrar etmelisin."
"2, 3, 4, 5 sayılarından hangileri asaldır?",2 3 4 5 sayilarindan hangileri asaldir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
20'den küçük asal sayıların toplamı kaçtır?,20 den kucuk asal sayilarin toplami kactir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Bir asal sayının pozitif bölen sayısı kaçtır?,bir asal sayinin pozitif bolen sayisi kactir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
En küçük asal sayı kaçtır?,en kucuk asal sayi kactir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
15 ile 25 arasındaki asal sayılar hangileridir?,15 ile 25 arasindaki asal sayilar hangileridir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
91 sayısı asal mıdır? Gerekçesini düşününüz.,91 sayisi asal midir gerekcesini dusununuz carpi,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
İki basamaklı en küçük asal sayı kaçtır?,i ki basamakli en kucuk asal sayi kactir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Bir asal sayı ile 1'in çarpımı neye eşittir?,bir asal sayi ile 1 in carpimi neye esittir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
30 sayısının asal çarpanları nelerdir?,30 sayisinin asal carpanlari nelerdir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
Asal olmayan 1'den büyük doğal sayılara ne ad verilir?,asal olmayan 1 den buyuk dogal sayilara ne ad verilir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
1 asal sayı mıdır?,1 asal sayi midir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
49 sayısı asal mıdır?,49 sayisi asal midir,Asal Sayılar,"Asal sayı tanımı, asal çarpanlara ayırma, bölen sayısı ve aralarında asal olma konularını tekrar etmelisin."
